	total_counts	canon_counts	canon_status	author	title
POR0080	1	0	low	Câmara, João Maria Evangelista Gonçalves Zarco da 	O Conde de Castel Melhor: Edição para o ELTeC
POR0081	1	0	low	Sá, António Manuel da Cunha e 	Da parte d'el-rei: Edição para o ELTeC
POR0082	8	2	high	Machado, Júlio César  	A vida em Lisboa: Edição para o ELTeC
POR0083	0	0	low	Pestana, Alice  	A vida por um prejuízo: Edição para o ELTeC
POR0085	1	0	low	Sarmento, Augusto  	Providência: Edição para o ELTeC
POR0086	0	0	low	Pinho, Maria Benedicta Mousinho de Albuquerque 	Marina: Edição para o ELTeC
POR0087	0	0	low	Mesquita, Marcelino 	Os quatro reis impostores: Edição para o ELTeC
POR0088	0	0	low	Varela, A.J. Pereira 	Os miseráveis da aristocracia: Edição para o ELTeC
POR0089	0	0	low	Carvalhal, Álvaro do 	Os canibais: Edição para o ELTeC
POR0090	1	1	low	Figueiredo, Cândido de 	Lisboa no Ano Três Mil: Edição para o ELTeC
POR0092	1	0	low	Loureiro, Urbano 	A infâmia de Frei Quintino: Edição para o ELTeC
POR0093	1	1	low	Sá, Anna Maria Ribeiro de 	Mathilde: Edição para o ELTeC
POR0094	1	0	low	Pinheiro, Bernardino Pereira 	Arzilla: Edição para o ELTeC
POR0095	1	0	low	Mesquita, Alfredo de 	A rua do oiro: Edição para o ELTeC
POR0096	1	0	low	Coutinho, Manoel da Cruz Pereira 	Elvenda, ou Conquista de Coimbra por Fernando Magno: Edição para o ELTeC
POR0097	2	1	low	Castro, Alberto Osório de 	Dramas da Corte: Edição para o ELTeC
POR0098	1	0	low	Loureiro, Augusto 	A bruxa : Edição para o ELTeC
POR0099	2	0	low	Castro Osório, Ana de 	Ambições : Edição para o ELTeC
POR0100	0	0	low	Cordeiro, Luciano 	A senhora duquesa: Edição para o ELTeC
