xmlid	basename	title	au-name
POR0063	POR0063_RamOrt_Misterio	O Mistério da Estrada de Sintra: Edição para o ELTeC	Ramalho Ortigão, José Duarte 
POR0058	POR0058_AlbPim_Mercedes	O Romance da Rainha Mercedes: Edição para o ELTeC	Pimentel, Alberto 
POR0027	POR0027_MJTM_MariaDaFonte	Um conto portuguez: Edição para o ELTeC	Mascarenhas, Miguel J. T. 
POR0088	POR0088_PerVar_Miseraveis	Os miseráveis da aristocracia: Edição para o ELTeC	Varela, A.J. Pereira 
POR0017	POR0017_MJPCha_Meianoite	A Lenda da Meia-Noite: Edição para o ELTeC	Pinheiro Chagas, Manuel Joaquim 
POR0086	POR0086_MBenPin_Marina	Marina: Edição para o ELTeC	Pinho, Maria Benedicta Mousinho de Albuquerque 
POR0024	POR0024_AlfCam_Cabinda	A filha do Cabinda: Edição para o ELTeC	Campos, Alfredo 
POR0011	POR0011_CamCB_Mulheres	O que fazem mulheres: Edição para o ELTeC	Castelo Branco, Camilo 
POR0007	POR0007_JulDin_Inglesa	Uma família ingleza: Edição para o ELTeC	Dinis, Júlio 
POR0054	POR0054_AbeBot_Amanha	Amanhã: Edição para o ELTeC	Botelho, Abel 
POR0021	POR0021_ConFic_Eleicao	Uma Eleição Perdida: Edição para o ELTeC	Francisco Manuel de Melo Breyner, Conde de Ficalho 
POR0064	POR0064_AntFBar_Manuelinho	O Manuelinho de Évora: Edição para o ELTeC	Barata, António Francisco 
POR0026	POR0026_TeiQue_Salustio	O Salústio Nogueira: Edição para o ELTeC	Queirós, Teixeira de 
POR0066	POR0066_VirCA_Innocente	Inocente: Edição para o ELTeC	Castro e Almeida, Virgínia de 
POR0029	POR0029_DiodMac_Cristao	O Christão novo: Edição para o ELTeC	Macedo, Diogo de 
POR0015	POR0015_JulDin_Fidalgos	Os Fidalgos da Casa Mourisca: Edição para o ELTeC	Dinis, Júlio 
POR0034	POR0034_TomMel_Luiz	O Conde de S. Luiz: Edição para o ELTeC	Melo, Tomás de 
POR0020	POR0020_AbeBot_Crioulo	Amor crioulo: Edição para o ELTeC	Botelho, Abel 
POR0025	POR0025_ManMRod_Rosa	A Rosa do Adro: Edição para o ELTeC	Rodrigues, Manuel Maria 
POR0045	POR0045_AntATVas_Castromino	A ermida de Castromino: Edição para o ELTeC	Vasconcelos, Antonio Augusto Teixeira de 
POR0028	POR0028_SMagLim_Viscondessa	A senhora viscondessa: Edição para o ELTeC	Lima, Sebastião de Magalhães 
POR0047	POR0047_JosSMLea_Estouro	Infaustas Aventuras de Mestre Marçal Estouro: Edição para o ELTeC	Leal, José da Silva Mendes 
POR0078	POR0078_EduNor_Agonizar	O agonizar de uma dinastia: Edição para o ELTeC	Noronha, Eduardo de 
POR0010	POR0010_CamCB_Perdicao	Amor de Perdição: Edição para o ELTeC	Castelo Branco, Camilo 
POR0001	POR0001_JulDin_Morgadinha	A Morgadinha dos Cannaviaes : Edição para o ELTeC	Dinis, Júlio 
POR0096	POR0096_ManCPCou_Elvenda	Elvenda, ou Conquista de Coimbra por Fernando Magno: Edição para o ELTeC	Coutinho, Manoel da Cruz Pereira 
POR0098	POR0098_AugLou_Bruxa	A bruxa : Edição para o ELTeC	Loureiro, Augusto 
POR0085	POR0085_AugSar_Providencia	Providência: Edição para o ELTeC	Sarmento, Augusto  
POR0048	POR0048_BulPat_Palida	A pálida estrela: Edição para o ELTeC	Bulhão Pato, Raimundo António de 
POR0053	POR0053_AbeBot_Lavos	O Barão de Lavos: Edição para o ELTeC	Botelho, Abel 
POR0046	POR0046_FraGAmo_Selvagens	Os selvagens: Edição para o ELTeC	Amorim, Francisco Gomes de 
POR0019	POR0019_MarSC_Lucio	A Confissão de Lúcio: Edição para o ELTeC	Sá-Carneiro, Mário de 
